session_id,participant_id,enumerator_id,treatment_group,language,currency_rate,app_version,round_index,is_practice,dose,fertilizer_used,savings,rain_outcome,rain_seed,rain_draw,price_outcome,price_seed,price_draw,yield,price_level,revenue,decision_start_time,decision_end_time,decision_duration_ms,dose_trajectory_json
0abc10f7-f2cd-484e-a549-b6882a57866e,Eh,1,,en,5,0.3.0-v2,practice,true,10,true,15,good,Eh-rpractice-rain,0.5008801734489642,mid,Eh-rpractice-price,0.5848232816823384,27.119999999999997,1,30.119999999999997,2026-06-08T04:58:05.835Z,2026-06-08T04:58:13.987Z,8152.200000047684,"[{""t"":368657.3000000119,""value"":1},{""t"":369080.40000003576,""value"":2},{""t"":369245.5,""value"":3},{""t"":369621.90000003576,""value"":4},{""t"":372011.5,""value"":5},{""t"":372402.5,""value"":6},{""t"":373139,""value"":7},{""t"":373332.90000003576,""value"":8},{""t"":373667.10000002384,""value"":9},{""t"":374203.6999999881,""value"":10}]"
0abc10f7-f2cd-484e-a549-b6882a57866e,Eh,1,,en,5,0.3.0-v2,0,false,10,true,15,drought,Eh-r0-rain,0.9837344931897933,low,Eh-r0-price,0.7133058268642652,2,0.6,15,2026-06-08T04:58:18.160Z,2026-06-08T04:58:23.906Z,5745.700000047684,"[{""t"":380671,""value"":1},{""t"":380847.40000003576,""value"":2},{""t"":381634.1999999881,""value"":3},{""t"":381796.5,""value"":4},{""t"":381993.90000003576,""value"":5},{""t"":382138.60000002384,""value"":6},{""t"":382448.8000000119,""value"":7},{""t"":382631.5,""value"":8},{""t"":382776.40000003576,""value"":9},{""t"":383173.90000003576,""value"":10}]"
0abc10f7-f2cd-484e-a549-b6882a57866e,Eh,1,,en,5,0.3.0-v2,1,false,4,true,21,good,Eh-r1-rain,0.3978419766196581,mid,Eh-r1-price,0.37690724333110087,19.728,1,28.728,2026-06-08T04:58:28.097Z,2026-06-08T04:58:32.769Z,4671.699999988079,"[{""t"":390622.8000000119,""value"":1},{""t"":392880.5,""value"":2},{""t"":393086.10000002384,""value"":3},{""t"":393257.40000003576,""value"":4}]"
0abc10f7-f2cd-484e-a549-b6882a57866e,Eh,1,,en,5,0.3.0-v2,2,false,5,true,20,drought,Eh-r2-rain,0.8061366636091182,mid,Eh-r2-price,0.6281587691350737,2,1,20,2026-06-08T04:58:36.099Z,2026-06-08T04:58:40.128Z,4029.099999964237,"[{""t"":398725.6999999881,""value"":1},{""t"":398918.8000000119,""value"":2},{""t"":399133,""value"":3},{""t"":399510.3000000119,""value"":4},{""t"":399720.1999999881,""value"":5}]"
0abc10f7-f2cd-484e-a549-b6882a57866e,Eh,1,,en,5,0.3.0-v2,3,false,7,true,18,normal,Eh-r3-rain,0.6030620072505111,mid,Eh-r3-price,0.591604192640991,16.61,1,26.61,2026-06-08T04:58:42.812Z,2026-06-08T04:58:47.513Z,4701.100000023842,"[{""t"":405241.6999999881,""value"":1},{""t"":406153.40000003576,""value"":2},{""t"":406381.40000003576,""value"":3},{""t"":406761,""value"":4},{""t"":407120.8000000119,""value"":5},{""t"":407527.60000002384,""value"":6},{""t"":407906.6999999881,""value"":7}]"
0abc10f7-f2cd-484e-a549-b6882a57866e,Eh,1,,en,5,0.3.0-v2,4,false,5,true,20,good,Eh-r4-rain,0.3828648081330346,mid,Eh-r4-price,0.12375118973696568,21.310000000000002,1,29.310000000000002,2026-06-08T04:58:50.440Z,2026-06-08T04:58:54.598Z,4158.199999988079,"[{""t"":412902.8000000119,""value"":1},{""t"":413075.6999999881,""value"":2},{""t"":413288.5,""value"":3},{""t"":413636,""value"":4},{""t"":414014.90000003576,""value"":5}]"
0abc10f7-f2cd-484e-a549-b6882a57866e,Eh,1,,en,5,0.3.0-v2,5,false,10,true,15,good,Eh-r5-rain,0.12435070972307741,high,Eh-r5-price,0.3549129189158602,27.119999999999997,1.6,39.19199999999999,2026-06-08T04:58:57.807Z,2026-06-08T04:59:02.812Z,5005.300000011921,"[{""t"":420187.40000003576,""value"":1},{""t"":420379.5,""value"":2},{""t"":420742.60000002384,""value"":3},{""t"":421186.60000002384,""value"":4},{""t"":421325.90000003576,""value"":5},{""t"":421687.10000002384,""value"":6},{""t"":422086.3000000119,""value"":7},{""t"":422242.90000003576,""value"":8},{""t"":422397.60000002384,""value"":9},{""t"":422591.6999999881,""value"":10}]"
0abc10f7-f2cd-484e-a549-b6882a57866e,Eh,1,,en,5,0.3.0-v2,6,false,8,true,17,drought,Eh-r6-rain,0.8680311423929229,mid,Eh-r6-price,0.22412116996219614,2,1,17,2026-06-08T04:59:05.909Z,2026-06-08T04:59:14.520Z,8610.599999964237,"[{""t"":428485.60000002384,""value"":1},{""t"":428677.8000000119,""value"":2},{""t"":429445.90000003576,""value"":3},{""t"":429988.40000003576,""value"":4},{""t"":430197.6999999881,""value"":5},{""t"":430329,""value"":6},{""t"":430576.40000003576,""value"":7},{""t"":430723.1999999881,""value"":8},{""t"":431331.60000002384,""value"":9},{""t"":432083.3000000119,""value"":10},{""t"":433690.40000003576,""value"":9},{""t"":433865.6999999881,""value"":8}]"
0abc10f7-f2cd-484e-a549-b6882a57866e,Eh,1,,en,5,0.3.0-v2,7,false,3,true,22,normal,Eh-r7-rain,0.3506062761921879,mid,Eh-r7-price,0.4408295815501013,12.29,1,26.29,2026-06-08T04:59:17.561Z,2026-06-08T04:59:21.247Z,3686.600000023842,"[{""t"":439894.5,""value"":1},{""t"":440103.6999999881,""value"":2},{""t"":440249.1999999881,""value"":3}]"
0abc10f7-f2cd-484e-a549-b6882a57866e,Eh,1,,en,5,0.3.0-v2,8,false,8,true,17,drought,Eh-r8-rain,0.8636176663353134,mid,Eh-r8-price,0.3280382929581069,2,1,17,2026-06-08T04:59:25.714Z,2026-06-08T04:59:32.379Z,6664.399999976158,"[{""t"":448078.90000003576,""value"":1},{""t"":448410.10000002384,""value"":2},{""t"":448582.1999999881,""value"":3},{""t"":448796.8000000119,""value"":4},{""t"":449072.40000003576,""value"":5},{""t"":451302.8000000119,""value"":6},{""t"":451792.5,""value"":7},{""t"":451989.3000000119,""value"":8}]"
